source_workspace,source_relative_path,source_sha256,classification,target_relative_path,action,notes
TausFCCee_pre_consolidation_20260901,.gitignore,6cef979eeb6a0bbed67d5d4a12294f2f7836fd749a271928998d95bc02ace92d,CORE_MAINTAINED,.gitignore,PORTED_WITH_MAINTAINED_RULES,Results/runtime ignore rules retained and tightened
TausFCCee_pre_consolidation_20260901,HitAnalysis/particle_level_analisis_parallel.py,850afb0c8e0949fd60a2c70a868d4cdf0bbbb9452c9816b390520d2aa6c07262,CORE_MAINTAINED,HitAnalysis/particle_level_analisis_parallel.py,PORTED_WITH_PORTABILITY_REFACTOR,Hardened event identity retained; explicit output/G options added
TausFCCee_pre_consolidation_20260901,modules/ConfusionMatrixParticleLevel.py,40955163f4244e9c01f9533519d5dee87ae344c4ce75415c7d514380cad31e09,CORE_MAINTAINED,modules/ConfusionMatrixParticleLevel.py,COPIED_MAINTAINED_DIFF,Figure close fix; general upstream-worthy
TausFCCee_pre_consolidation_20260901,modules/NeutralRecover.py,ec43f463efe497ee48c9404858590de95250deff5970db1befc2ebd2cd20abf0,CORE_MAINTAINED,modules/NeutralRecover.py,PORTED_WITH_SHARED_DEFINITION,Authoritative G retained; selected truth delegated to frozen helper
TausFCCee_pre_consolidation_20260901,modules/myutils.py,f99fb2ae3ac4298e85b131061967a08f7b317644668ccb2f1c0af5a2a2c8a64f,CORE_MAINTAINED,modules/myutils.py,PORTED_WITH_PORTABILITY_REFACTOR,Tuple event keys retained; explicit output root added
TausFCCee_pre_consolidation_20260901,modules/analysis_hardening.py,c098ac97129292c2dbd320feadd000fc150674e6bee10f55003cec2e58c4ea45,CORE_MAINTAINED,modules/analysis_hardening.py,PORTED_WITH_INTERFACE_EXTENSION,Cantor helper retained as derived convenience; composite key explicit
TausFCCee_pre_consolidation_20260901,tests/test_analysis_hardening.py,8bf3c4589c46eb040537e052852fb47a17440b17c2540bbe34e54ee3f7b94a39,CORE_MAINTAINED,tests/test_analysis_hardening.py,COPIED_UNCHANGED,Hardening regressions
TausFCCee_pre_consolidation_20260901,scripts/run_hit_analysis.sh,bba800a7252d395a6de896c34d9c02890b8e10fdd94102970b9d60f1874c50cb,MAINTAINED_ANALYSIS,scripts/analysis/run_hit_analysis.sh,REPLACED_PORTABLE,Campaign hardcoding and Results output replaced by manifests/output root
TausFCCee_pre_consolidation_20260901,scripts/compare_campaigns.py,d236bd3aee6d737b75b5736806047db5c5d94bcaf83a64ed6139a1bdcd6b9c75,MAINTAINED_ANALYSIS,scripts/analysis/produce_migration_matrices.py,DEFINITIONS_CENTRALIZED,Frozen category order/labels integrated; old script not copied
TausFCCee_pre_consolidation_20260901,scripts/compare_hit_analysis_outputs.py,4101a57615701594ba2ab6dfa05671c482a13deb395f9014842edb6ea1575f6d,HISTORICAL_ONLY,,NOT_PORTED,Superseded campaign-specific comparison
TausFCCee_pre_consolidation_20260901,docs/ANALYSIS_AUDIT_20260821.md,4534b298999a89f0678a6885a2f27a33ac7e954544afdbe1d541a77b310860c7,HISTORICAL_ONLY,,NOT_PORTED,Superseded audit
